                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4953,                 4.7961,                  1.051,                  6e-05,                0.07692,                0.00043,                0.00017,                 1.3385,                 4.8468,                0.96394,               0.070769,              0.0032479,              0.0032479
                      2,                 1.5398,                 4.1124,                 1.0338,                0.94526,                 0.0183,                0.04556,                0.01912,                 1.5984,                 4.2065,                 1.1366,               0.040552,               0.006364,               0.006364
                      3,                  1.646,                 3.9584,                 1.0898,                0.00951,                0.64625,                0.11496,                0.05868,                 1.4305,                  4.162,                 1.0311,               0.010115,              0.0092602,              0.0092602
                      4,                 1.7302,                 3.4184,                 1.0904,                0.22263,                0.52956,                0.14153,                0.07405,                 1.5528,                 3.5434,                 1.1013,                0.00901,                0.00901,                0.00901
                      5,                 1.6813,                 3.1837,                 1.0799,                0.43304,                 0.2602,                0.19365,                0.09902,                 1.7026,                 5.0221,                 1.1324,                0.00901,                0.00901,                0.00901
                      6,                 1.6048,                 2.8981,                 1.0611,                0.34019,                 0.3956,                0.24707,                 0.1217,                 1.5329,                  3.162,                 1.1246,                0.00868,                0.00868,                0.00868
                      7,                 1.6728,                 2.8912,                    1.1,                0.31324,                0.10976,                0.22469,                0.10707,                 1.5372,                 3.3382,                  1.069,                0.00835,                0.00835,                0.00835
                      8,                 1.6072,                 2.7919,                 1.0645,                0.39516,                0.40349,                0.28685,                0.15172,                 1.4233,                 3.0413,                 1.0499,                0.00802,                0.00802,                0.00802
                      9,                 1.4866,                 2.9551,                  1.043,                 0.4181,                0.21247,                0.30738,                0.17071,                 1.3959,                      3,                 1.0473,                0.00769,                0.00769,                0.00769
                     10,                 1.5174,                 2.6143,                 1.0499,                0.25968,                0.54023,                0.31337,                0.17494,                  1.379,                 2.4896,                 1.0645,                0.00736,                0.00736,                0.00736
                     11,                 1.4667,                 2.3733,                 1.0502,                0.37252,                0.51595,                0.32908,                 0.1916,                  1.409,                 2.4855,                 1.0743,                0.00703,                0.00703,                0.00703
                     12,                 1.5061,                 2.2576,                 1.0718,                0.46483,                0.40832,                0.35763,                0.19423,                 1.4914,                 2.4162,                 1.0893,                 0.0067,                 0.0067,                 0.0067
                     13,                 1.5155,                 2.3359,                 1.0281,                 0.3259,                0.57638,                0.37742,                0.22015,                 1.3904,                 2.3402,                 1.0551,                0.00637,                0.00637,                0.00637
                     14,                 1.4411,                 2.0119,                 1.0234,                0.58929,                0.38779,                0.39377,                  0.231,                 1.3504,                 2.3938,                 1.0387,                0.00604,                0.00604,                0.00604
                     15,                 1.4346,                 2.0857,                 1.0394,                0.58898,                0.43757,                0.43472,                0.25178,                 1.3955,                 2.2539,                 1.0634,                0.00571,                0.00571,                0.00571
                     16,                 1.4149,                 1.8874,                 1.0322,                0.42324,                0.51285,                0.44153,                0.24343,                 1.4768,                 2.2261,                 1.0837,                0.00538,                0.00538,                0.00538
                     17,                 1.3619,                 1.9455,                  1.007,                 0.6819,                0.44945,                0.48411,                0.28357,                 1.3009,                  2.221,                 1.0285,                0.00505,                0.00505,                0.00505
                     18,                 1.3128,                 1.9533,                 1.0457,                0.61342,                0.44697,                0.49966,                0.30121,                 1.2924,                 2.1837,                 1.0258,                0.00472,                0.00472,                0.00472
                     19,                 1.3716,                 1.8731,                0.99429,                0.37215,                0.66766,                0.50194,                 0.3032,                 1.3145,                 2.1919,                 1.0357,                0.00439,                0.00439,                0.00439
                     20,                  1.356,                  1.737,                 1.0009,                0.82679,                0.39147,                0.50258,                0.30995,                 1.2908,                 2.0815,                 1.0275,                0.00406,                0.00406,                0.00406
                     21,                 1.2231,                  2.102,                 1.0131,                  0.375,                0.55631,                0.51566,                0.31515,                 1.2689,                  2.196,                 1.0264,                0.00373,                0.00373,                0.00373
                     22,                  1.213,                 2.0333,                 1.0156,                0.38385,                0.68604,                0.53436,                0.33774,                 1.2837,                 2.1745,                  1.025,                 0.0034,                 0.0034,                 0.0034
                     23,                 1.2184,                 1.9804,                 1.0129,                0.40254,                0.59433,                0.53939,                0.33709,                 1.2793,                 2.1444,                 1.0241,                0.00307,                0.00307,                0.00307
                     24,                 1.2429,                 1.8963,                 1.0361,                0.52269,                0.51801,                0.54196,                0.33985,                 1.2778,                  2.161,                 1.0282,                0.00274,                0.00274,                0.00274
                     25,                  1.209,                 1.8646,                  1.017,                0.55288,                0.54925,                 0.5348,                0.33541,                 1.2545,                 2.1262,                 1.0231,                0.00241,                0.00241,                0.00241
                     26,                 1.2076,                 1.7948,                 0.9949,                0.65221,                0.50363,                0.54007,                0.33461,                 1.2574,                 2.0985,                 1.0179,                0.00208,                0.00208,                0.00208
                     27,                 1.2143,                 1.7763,                0.98825,                0.60465,                0.57494,                0.53687,                0.32961,                 1.2549,                 2.0349,                 1.0234,                0.00175,                0.00175,                0.00175
                     28,                 1.1909,                 1.7282,                  1.012,                0.64061,                0.53022,                0.54996,                0.33844,                 1.2536,                 2.0296,                 1.0257,                0.00142,                0.00142,                0.00142
                     29,                  1.148,                 1.8643,                 1.0022,                0.66166,                0.51257,                0.55169,                0.34378,                 1.2514,                 2.0104,                 1.0236,                0.00109,                0.00109,                0.00109
                     30,                 1.1796,                  1.805,                 1.0041,                0.56577,                0.55805,                0.54702,                0.33903,                 1.2398,                 1.9607,                  1.014,                0.00076,                0.00076,                0.00076
